cohort size nembr
1 4.1 15
1 4.15 15
1 4.15 20
1 4.6 19
1 4.4 20
1 4.08 18
1 4.45 22
1 3.98 22
1 4.65 20
1 4.73 22
1 4.2 17
1 4.05 20
1 4.13 16
1 4.23 23
1 4.45 19
1 5 22
1 4.63 17
1 4.2 25
1 5.28 21
1 4.85 24
1 4.05 15
1 4.2 24
1 4.1 20
1 4.28 18
1 4.25 23
1 3.95 13
1 3.95 19
1 4.8 14
1 4.63 21
1 4.65 14
1 4.15 24
1 4.68 13
1 4.1 22
1 4.08 20
1 4.6 17
1 3.9 16
1 4.4 20
1 4.9 22
1 4.33 19
1 3.9 16
1 4.13 21
1 4.35 16
1 4.1 19
1 4.28 19
1 4.13 19
1 3.98 15
1 4.1 12
2 4.9 23
2 4.74 21
2 4.66 25
2 4.94 27
2 4.52 14
2 4.66 21
2 4.46 25
2 4.66 24
2 4.78 24
2 4.42 20
2 5.13 28
2 4.78 28
2 4.18 20
2 4.3 24
2 4.34 23
2 3.94 18
2 4.54 21
2 4.52 27
2 4.58 21
2 5.31 30
2 4.9 21
2 4.92 19
2 4.78 26
2 5 24
2 4.14 22
2 5.31 45
2 4.22 12
2 4.22 18
2 4.14 8
2 4.7 25
2 4.54 27
2 4.8 28
2 4.12 23
2 4.68 25
2 4.68 16
2 4.78 23
2 5.21 32
2 4.92 18
2 4.74 22
2 4.42 23
2 4.78 24
2 4.94 25
2 4.72 21
2 4.9 27
2 5.23 25
2 4.54 20
2 4.86 26
2 5.21 31
